010101111001 01011111 111
000101111101 01011111 111
001110011110 01110011 111
001100100110 00110101 100
000110011101 00010011 010
011111010000 01111010 111
001101011010 00110010 010
000011101001 10001100 001
101011000000 10111000 111
100100101010 10010110 010
111010110011 11100100 100
111100101001 11111100 100
110110011111 11011011 011
110010110111 01000111 111
111010000011 11100100 100
001010011000 00100011 000
011001100110 01101101 101
000000110001 00000110 000
100010000100 10001001 001
100010010101 10000010 000
110100000101 01010001 011
011011010101 01111011 111
100111010011 00011010 010
100111000001 11011000 000
011111000001 01111100 111
011101100010 00111100 100
011011101111 11101101 101
000101111011 00111110 110
100001010101 00001011 001
010100010110 01010111 111
001010010000 00101010 000
000111111011 00011110 010
110001001000 11001000 000
101001101101 10101101 101
111011100010 11101000 000
100010011100 10000111 000
011000000111 01100001 101
111111101011 11011100 100
110010100100 11100101 101
011100000110 01100001 101
011100000001 01100000 100
111010100000 11100101 101
001110001100 10110001 110
001101101100 00111111 111
110011000011 10001000 001
001110100001 10110100 110
001011110000 00101010 000
101111101110 10111100 111
011000010111 01100011 111
101011010111 00101011 001
011011101111 11101101 101
101110001101 10110001 110
100000000000 00000000 000
011001111101 01101110 111
111010000000 11100010 010
000111000001 00010000 000
110111110000 11011110 110
101011011100 11101011 011
010011000000 01001000 001
010100011001 01010010 010
000000110101 00000111 000
110110111101 11010110 110
011101000011 11111000 000
111110001100 10110001 110
111111000111 10111001 111
000011010010 00001010 000
000111111101 00011110 010
001011000101 00100001 000
111100111001 11110110 110
011000011010 01100010 110
010101111100 01011111 111
111110010100 11010011 011
101011110100 10111111 111
011001110100 01101011 111
111110100000 11010100 100
010100100111 01010101 111
001010111000 00100100 100
100001011001 11001010 010
010000101100 01100101 101
110001111001 11001010 010
101100110000 00110110 110
010001111000 00001110 000
110101011010 11111010 010
001010010111 00101011 001
100110100110 10110101 110
010101001101 01011000 011
000001010011 00001010 000
110000101100 11000001 001
001011000001 00101000 000
110011011111 11011011 011
011000110110 01100110 110
010000100110 11000101 101
000011010110 01001011 011
010010001111 01001001 001
110010001000 10000000 000
